"Product_Name","Image_Name","required_issue","un_business","un_vendor_price","un_unit","un_brand","un_category","un_sub_category","un_price","business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","vendor_price","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","slug","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"Layerr Shot Absolute 135ML Craze","not found","0","0","0","0","0","0","0","0","globalvillageinternational","Layerr Shot Absolute 135ML Craze","Piece","1","layerr-shot","health-and-beauty-1","fragrances","","335.75","395","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"Clariss Face Wash 100ML Lemon [Oil Control]","not found","0","0","0","0","0","0","0","0","globalvillageinternational","Clariss Face Wash 100ML Lemon [Oil Control]","Piece","1","clariss","health-and-beauty-1","skin-care","","225.25","265","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"Clariss Face Wash 100ML Milk [All Skin Types]","not found","0","0","0","0","0","0","0","0","globalvillageinternational","Clariss Face Wash 100ML Milk [All Skin Types]","Piece","1","clariss","health-and-beauty-1","skin-care","","225.25","265","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"Clariss Face Wash 100ML Neem [Pimple Defense]","not found","0","0","0","0","0","0","0","0","globalvillageinternational","Clariss Face Wash 100ML Neem [Pimple Defense]","Piece","1","clariss","health-and-beauty-1","skin-care","","225.25","265","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"Clariss Face Wash 100ML Papaya [Blemish Reduction]","not found","0","0","0","0","0","0","0","0","globalvillageinternational","Clariss Face Wash 100ML Papaya [Blemish Reduction]","Piece","1","clariss","health-and-beauty-1","skin-care","","225.25","265","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"Clariss Face Wash 100ML Tea Tree [Acne Care]","not found","0","0","0","0","0","0","0","0","globalvillageinternational","Clariss Face Wash 100ML Tea Tree [Acne Care]","Piece","1","clariss","health-and-beauty-1","skin-care","","225.25","265","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"The Man Club Bs 175ML  D.J.","not found","0","0","0","0","0","0","0","0","globalvillageinternational","The Man Club Bs 175ML  D.J.","Piece","1","the-man-club","groceries","breakfast","","297.5","350","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"The Man Club Bs 175ML  Flight O","not found","0","0","0","0","0","0","0","0","globalvillageinternational","The Man Club Bs 175ML  Flight O","Piece","1","the-man-club","health-and-beauty-1","fragrances","","297.5","350","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"The Man Club Bs 175ML  F.Scotts","not found","0","0","0","0","0","0","0","0","globalvillageinternational","The Man Club Bs 175ML  F.Scotts","Piece","1","the-man-club","health-and-beauty-1","fragrances","","297.5","350","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"RS Whole Black Olives 370ML Glass Jar","none","1","0",,"0","0","0","1","0","globalvillageinternational","RS Whole Black Olives 370ML Glass Jar","Piece","1","rs","groceries","","","157.25","185","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"RS Pitted Black Olives 370ML Glass Jar","none","1","0",,"0","0","0","1","0","globalvillageinternational","RS Pitted Black Olives 370ML Glass Jar","Piece","1","rs","groceries","","","157.25","185","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"RS Whole Green Olives 370ML Glass Jar","none","1","0",,"0","0","0","1","0","globalvillageinternational","RS Whole Green Olives 370ML Glass Jar","Piece","1","rs","groceries","","","157.25","185","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"RS Pitted Green Olives 370ML Glass Jar","none","1","0",,"0","0","0","1","0","globalvillageinternational","RS Pitted Green Olives 370ML Glass Jar","Piece","1","rs","groceries","","","157.25","185","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"RS Sliced Black Olives 467ML Glass Jar","none","1","0",,"0","0","0","1","0","globalvillageinternational","RS Sliced Black Olives 467ML Glass Jar","Piece","1","rs","groceries","","","212.5","250","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
"She Bs 150ML Angel","none","1","0",,"0","0","0","1","0","globalvillageinternational","She Bs 150ML Angel","Piece","1","she","health-and-beauty-1","","","250.75","295","0","","","","","","10","","","10080","active","1","100","","","","","","","",""
