business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
nhkgroup,Creative EP-530 Earphone,Piece,1,nhk-group,electronic-accessori,audio,,300,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,,,active,"<p>""Easy to take to anywhere. Support the use of Earphone/Headphone",,,,,,
nhkgroup,QKZ DM10 Zinc Alloy Metal Earphone,Piece,1,nhk-group,electronic-accessori,audio,,400,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,,,active,"<table style=""border-collapse: collapse; width: 330pt;"" width=""440"">
<tbody>
<tr style=""height: 35.25pt;"">
<td style=""height: 35.25pt; width: 330pt;"" width=""440"">Brand : QKZ<br />Model : DM 10<br />Matel Earphone<br />Magnet Contact : Yes<br />Function: Play / Pause, Answer / Off, Noise Cancelling, Microphone<br />Impedance: 16&Omega;&plusmn;15%<br />Speaker: 12mm<br />Input power: 3mW<br />Material: Metal CNC Zinc alloy<br />Maximum Input Power: 5mW<br />Sensitivity: 100&plusmn;3dB (at 1KHz 1mW)<br />Speaker Power: Rated input power: 3mW<br />Speaker Frequency Response: 20-20K Hz<br />Operation Temperature: -10 Celsius to +40 Celsius<br />Product Will Be 100% As Picture<br />100 % Authentic Product<br />Future Of Audio.</td>
</tr>
</tbody>
</table>",,,,,,
nhkgroup,QKZ DM9 Metal Earphone,Piece,1,nhk-group,electronic-accessori,audio,,490,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,,,active,"<table style=""border-collapse: collapse; width: 330pt;"" width=""440"">
<tbody>
<tr style=""height: 37.5pt;"">
<td style=""height: 37.5pt; width: 330pt;"" width=""440"">Brand : QKZ<br />Model : DM 9<br />Gamingl Earphone<br />Magnet Contact : Yes<br />Function: Play / Pause, Answer / Off, Noise Cancelling, Microphone<br />Impedance: 16&Omega;&plusmn;15%<br />Speaker: 12mm<br />Input power: 3mW<br />Material: Metal CNC Zinc alloy<br />Maximum Input Power: 5mW<br />Sensitivity: 100&plusmn;3dB (at 1KHz 1mW)<br />Speaker Power: Rated input power: 3mW<br />Speaker Frequency Response: 20-20K Hz<br />Operation Temperature: -10 Celsius to +40 Celsius<br />Product Will Be 100% As Picture<br />100 % Authentic Product.<br />Future Of Audio.</td>
</tr>
</tbody>
</table>",,,,,,
nhkgroup,QKZ DM7 Gaming Earphone,Piece,1,nhk-group,electronic-accessori,audio,,490,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,,,active,"""Brand : QKZ
Model : DM 7
Gamingl Earphone
Magnet Contact : Yes
Function: Play / Pause, Answer / Off, Noise Cancelling, Microphone
Impedance: 16Ω±15%
Speaker: 12mm
Input power: 3mW
Material: Metal CNC Zinc alloy
Maximum Input Power: 5mW
Sensitivity: 100±3dB (at 1KHz 1mW)
Speaker Power: Rated input power: 3mW
Speaker Frequency Response: 20-20K Hz
Operation Temperature: -10 Celsius to +40 Celsius
Product Will Be 100% As Picture
100 % Authentic Product
Future Of Audio.""",,,,,,
nhkgroup,Remax RM510 Touch Earphone,Piece,1,nhk-group,electronic-accessori,audio,,350,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,,,active,"""Brand : Remax
Model : RM 510
Matel Earphone
Magnet Contact : No
Function: Play / Pause, Answer / Off, Noise Cancelling, Microphone
Impedance: 16Ω±15%
Speaker: 12mm
Input power: 3mW
Maximum Input Power: 5mW
Sensitivity: 102±3dB (at 1KHz 1mW)
Speaker Power: Rated input power: 3mW
Speaker Frequency Response: 20-20K Hz
Operation Temperature: -10 Celsius to +40 Celsius
Product Will Be 100% As Picture
100 % Authentic Product
Future Of Audio.""",,,,,,
nhkgroup,Remax 610D HiFi Sound Earphone,Piece,1,nhk-group,electronic-accessori,audio,,650,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,,,active,"""Remax Rm 610D Earphone
RM 610D Stereo Music In-Ear Earphone
100% Original Product Guarantee (১০০% অরিজিনাল গ্যারান্টি ).
100% Authentic Product.
Microphone and In-Line Control Earphones - Black
Smart Switch controller and earbuds included
Two-way mutual conversion with crystal clear sound
Unit size: 1cm (moving-coil speaker)
Working power: 100mw
The headset pin: 3.5mm (plating)
Acuity: 95 + 3 db
Wire length: 120cm
Gold plated plugs
Driver Diameter: 9mm
Frequency Response: 20Hz--20kHz
Impedance: 16 Ω
Sensitivity(SPL): 100±3db
Rated Input Power: 80mW7
Plug: :￠3.5mm
10D Sound.
Extra Base
Feel The Music
Control Button:Yes
Volume Control:Yes
Product Will Be 100% Same As Picture""",,,,,,
nhkgroup,Remax Rm711,Piece,1,nhk-group,electronic-accessori,audio,,320,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,,,active,"""Brand Name:REMAX
100% Original Product Guarantee (১০০% অরিজিনাল গ্যারান্টি )
100% Authentic Product
QR Code : Yes
Support APP:No
Communication:Wired
Style:In-Ear
Waterproof:No
Is wireless:No
Frequency Response Range:20-20000Hz
Support Memory Card:No
Function:Common Headphone,Sport
Control Button:Yes
Volume Control:Yes
Model Number:RM-711
Connectors:3.5mm
Support Apt-x:No
Wireless Type:None
Resistance:32Ω
Vocalism Principle:Dynamic
Plug Type:Line Type
Sensitivity:98±3dB
With Microphone:Yes
Line Length:1.2m
Retail box:Yes
Remax Earphone
Remax Wired Earphone
Ramax Original Rm711 Earphone
নকল প্রমাণ করতে পারলে ১০০% টাকা ফেরত""",,,,,,
nhkgroup,COVEF Wried Earphone,Piece,1,nhk-group,electronic-accessori,audio,,300,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,,,active,"<table style=""border-collapse: collapse; width: 330pt;"" width=""440"">
<tbody>
<tr style=""height: 37.5pt;"">
<td style=""height: 37.5pt; width: 330pt;"" width=""440"">Brand Name: COVEF<br />100% Original Product Guarantee (১০০% অরিজিনাল গ্যারান্টি )<br />100% Authentic Product<br />Function: Common Headphone<br />Style: In-Ear<br />Communication: Wired<br />Connectors: 3.5mm<br />QR Code : Yes<br />Support APP:No<br />Communication:Wired<br />Style:In-Ear<br />Waterproof:No<br />Is wireless:No<br />Frequency Response Range:20-20000Hz<br />Support Memory Card:No<br />Function:Common Headphone,Sport<br />Control Button:Yes<br />Volume Control:Yes<br />Connectors:3.5mm<br />Support Apt-x:No<br />Wireless Type:None<br />Resistance:16&Omega;<br />Vocalism Principle:Dynamic<br />Plug Type:Line Type<br />Sensitivity:102&plusmn;3dB<br />With Microphone:Yes<br />Line Length:1.2m<br />Retail box:Yes<br />6D Sound<br />Extra Base.<br />Feel The Music.</td>
</tr>
</tbody>
</table>",,,,,,
nhkgroup,UiiSii HM13 Wired Earphone,Piece,1,nhk-group,electronic-accessori,audio,,400,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,,,active,"<table style=""border-collapse: collapse; width: 330pt;"" width=""440"">
<tbody>
<tr style=""height: 36.0pt;"">
<td style=""height: 36.0pt; width: 330pt;"" width=""440"">Brand Name: UiiSii<br />Model Number: HM13<br />100% Original Product Guarantee (১০০% অরিজিনাল গ্যারান্টি )<br />100% Authentic Product<br />Function: Common Headphone<br />Style: In-Ear<br />Communication: Wired<br />Connectors: 3.5mm<br />QR Code : Yes<br />Support APP:No<br />Communication:Wired<br />Style:In-Ear<br />Waterproof:No<br />Is wireless:No<br />Frequency Response Range:20-20000Hz<br />Support Memory Card:No<br />Function:Common Headphone,Sport<br />Control Button:Yes<br />Volume Control:Yes<br />Connectors:3.5mm<br />Support Apt-x:No<br />Wireless Type:None<br />Resistance:16&Omega;<br />Vocalism Principle:Dynamic<br />Plug Type:Line Type<br />Sensitivity:102&plusmn;3dB<br />With Microphone:Yes<br />Line Length:1.2m<br />Retail box:Yes<br />UiiSii Earphone<br />UiiSii Wired Earphone<br />Uiisii Original HM12 Earphone<br />6D Sound<br />Extra Base.<br />Feel The Music.</td>
</tr>
</tbody>
</table>",,,,,,
nhkgroup,UiiSii HM12 Wired Earphone,Piece,1,nhk-group,electronic-accessori,audio,,380,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,,,active,"<table style=""border-collapse: collapse; width: 330pt;"" width=""440"">
<tbody>
<tr style=""height: 36.0pt;"">
<td style=""height: 36.0pt; width: 330pt;"" width=""440"">Brand Name: UiiSii<br />Model Number: HM13<br />100% Original Product Guarantee (১০০% অরিজিনাল গ্যারান্টি )<br />100% Authentic Product<br />Function: Common Headphone<br />Style: In-Ear<br />Communication: Wired<br />Connectors: 3.5mm<br />QR Code : Yes<br />Support APP:No<br />Communication:Wired<br />Style:In-Ear<br />Waterproof:No<br />Is wireless:No<br />Frequency Response Range:20-20000Hz<br />Support Memory Card:No<br />Function:Common Headphone,Sport<br />Control Button:Yes<br />Volume Control:Yes<br />Connectors:3.5mm<br />Support Apt-x:No<br />Wireless Type:None<br />Resistance:16&Omega;<br />Vocalism Principle:Dynamic<br />Plug Type:Line Type<br />Sensitivity:102&plusmn;3dB<br />With Microphone:Yes<br />Line Length:1.2m<br />Retail box:Yes<br />UiiSii Earphone<br />UiiSii Wired Earphone<br />Uiisii Original HM12 Earphone<br />6D Sound<br />Extra Base.<br />Feel The Music.</td>
</tr>
</tbody>
</table>",,,,,,
nhkgroup,UiiSii HM9 Wired Earphone,Piece,1,nhk-group,electronic-accessori,audio,,380,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"<table style=""border-collapse: collapse; width: 330pt;"" width=""440"">
<tbody>
<tr style=""height: 36.0pt;"">
<td style=""height: 36.0pt; width: 330pt;"" width=""440"">Brand Name: UiiSii<br />Model Number: HM13<br />100% Original Product Guarantee (১০০% অরিজিনাল গ্যারান্টি )<br />100% Authentic Product<br />Function: Common Headphone<br />Style: In-Ear<br />Communication: Wired<br />Connectors: 3.5mm<br />QR Code : Yes<br />Support APP:No<br />Communication:Wired<br />Style:In-Ear<br />Waterproof:No<br />Is wireless:No<br />Frequency Response Range:20-20000Hz<br />Support Memory Card:No<br />Function:Common Headphone,Sport<br />Control Button:Yes<br />Volume Control:Yes<br />Connectors:3.5mm<br />Support Apt-x:No<br />Wireless Type:None<br />Resistance:16&Omega;<br />Vocalism Principle:Dynamic<br />Plug Type:Line Type<br />Sensitivity:102&plusmn;3dB<br />With Microphone:Yes<br />Line Length:1.2m<br />Retail box:Yes<br />UiiSii Earphone<br />UiiSii Wired Earphone<br />Uiisii Original HM12 Earphone<br />6D Sound<br />Extra Base.<br />Feel The Music.</td>
</tr>
</tbody>
</table>",,,,,,
nhkgroup,QKZ Dm10 Type-C Wired Earphone,Piece,1,nhk-group,electronic-accessori,audio,,550,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"<table style=""border-collapse: collapse; width: 330pt;"" width=""440"">
<tbody>
<tr style=""height: 36.0pt;"">
<td style=""height: 36.0pt; width: 330pt;"" width=""440"">Brand Name: UiiSii<br />Model Number: HM13<br />100% Original Product Guarantee (১০০% অরিজিনাল গ্যারান্টি )<br />100% Authentic Product<br />Function: Common Headphone<br />Style: In-Ear<br />Communication: Wired<br />Connectors: 3.5mm<br />QR Code : Yes<br />Support APP:No<br />Communication:Wired<br />Style:In-Ear<br />Waterproof:No<br />Is wireless:No<br />Frequency Response Range:20-20000Hz<br />Support Memory Card:No<br />Function:Common Headphone,Sport<br />Control Button:Yes<br />Volume Control:Yes<br />Connectors:3.5mm<br />Support Apt-x:No<br />Wireless Type:None<br />Resistance:16&Omega;<br />Vocalism Principle:Dynamic<br />Plug Type:Line Type<br />Sensitivity:102&plusmn;3dB<br />With Microphone:Yes<br />Line Length:1.2m<br />Retail box:Yes<br />UiiSii Earphone<br />UiiSii Wired Earphone<br />Uiisii Original HM12 Earphone<br />6D Sound<br />Extra Base.<br />Feel The Music.</td>
</tr>
</tbody>
</table>",,,,,,
nhkgroup,Plextone G30 (3.5 mm) Headset,Piece,1,nhk-group,electronic-accessori,audio,,1450,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"""• Brand Name: PLEXTONE
• Model Number:G30 Gaming Headset
• Connectors: Type-C
• Function: For Mobile Phone, For Internet Bar, For Video Game, HiFi Headphone, Sport, Common Headphone
• Waterproof: No
• Support Memory Card: No
• Plug Type: Line Type
• Wireless Type: None
• Support APP: No
• With Microphone: Yes
• Resistance:32Ω
• Line Length:1.6m
• Support Apt-x: No
• Style: In-Ear
• Volume Control: Yes
• Communication: Wired
• Frequency Response Range:20-20000Hz
• Sensitivity:118±3dB
• Vocalism Principle: Dynamic

""",,,,,,
nhkgroup,Plextone G30 (Type-C) Headset,Piece,1,nhk-group,electronic-accessori,audio,,1500,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"""• Brand Name: PLEXTONE
• Model Number:G30 Gaming Headset
• Connectors: Type-C
• Function: For Mobile Phone, For Internet Bar, For Video Game, HiFi Headphone, Sport, Common Headphone
• Waterproof: No
• Support Memory Card: No
• Plug Type: Line Type
• Wireless Type: None
• Support APP: No
• With Microphone: Yes
• Resistance:32Ω
• Line Length:1.6m
• Support Apt-x: No
• Style: In-Ear
• Volume Control: Yes
• Communication: Wired
• Frequency Response Range:20-20000Hz
• Sensitivity:118±3dB
• Vocalism Principle: Dynamic

""",,,,,,
nhkgroup,Remax RM-533 Type-C Headphone,Piece,1,nhk-group,electronic-accessori,audio,,550,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"""• Brand Name: PLEXTONE
• Model Number:G30 Gaming Headset
• Connectors: Type-C
• Function: For Mobile Phone, For Internet Bar, For Video Game, HiFi Headphone, Sport, Common Headphone
• Waterproof: No
• Support Memory Card: No
• Plug Type: Line Type
• Wireless Type: None
• Support APP: No
• With Microphone: Yes
• Resistance:32Ω
• Line Length:1.6m
• Support Apt-x: No
• Style: In-Ear
• Volume Control: Yes
• Communication: Wired
• Frequency Response Range:20-20000Hz
• Sensitivity:118±3dB
• Vocalism Principle: Dynamic

""",,,,,,
nhkgroup,F9 Ear Buds,Piece,1,nhk-group,electronic-accessori,audio,,620,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"""• Brand Name: PLEXTONE
• Model Number:G30 Gaming Headset
• Connectors: Type-C
• Function: For Mobile Phone, For Internet Bar, For Video Game, HiFi Headphone, Sport, Common Headphone
• Waterproof: No
• Support Memory Card: No
• Plug Type: Line Type
• Wireless Type: None
• Support APP: No
• With Microphone: Yes
• Resistance:32Ω
• Line Length:1.6m
• Support Apt-x: No
• Style: In-Ear
• Volume Control: Yes
• Communication: Wired
• Frequency Response Range:20-20000Hz
• Sensitivity:118±3dB
• Vocalism Principle: Dynamic

""",,,,,,
nhkgroup,Newest M11 Ear Buds,Piece,1,nhk-group,electronic-accessori,audio,,950,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"""• Brand Name: PLEXTONE
• Model Number:G30 Gaming Headset
• Connectors: Type-C
• Function: For Mobile Phone, For Internet Bar, For Video Game, HiFi Headphone, Sport, Common Headphone
• Waterproof: No
• Support Memory Card: No
• Plug Type: Line Type
• Wireless Type: None
• Support APP: No
• With Microphone: Yes
• Resistance:32Ω
• Line Length:1.6m
• Support Apt-x: No
• Style: In-Ear
• Volume Control: Yes
• Communication: Wired
• Frequency Response Range:20-20000Hz
• Sensitivity:118±3dB
• Vocalism Principle: Dynamic

""",,,,,,
nhkgroup,Awei T28P Gaming Earbuds,Piece,1,nhk-group,electronic-accessori,audio,,1750,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"""• Brand Name: PLEXTONE
• Model Number:G30 Gaming Headset
• Connectors: Type-C
• Function: For Mobile Phone, For Internet Bar, For Video Game, HiFi Headphone, Sport, Common Headphone
• Waterproof: No
• Support Memory Card: No
• Plug Type: Line Type
• Wireless Type: None
• Support APP: No
• With Microphone: Yes
• Resistance:32Ω
• Line Length:1.6m
• Support Apt-x: No
• Style: In-Ear
• Volume Control: Yes
• Communication: Wired
• Frequency Response Range:20-20000Hz
• Sensitivity:118±3dB
• Vocalism Principle: Dynamic

""",,,,,,
nhkgroup,Lenovo HE05X Neckband Earphone,Piece,1,nhk-group,electronic-accessori,audio,,750,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"""• Brand Name: PLEXTONE
• Model Number:G30 Gaming Headset
• Connectors: Type-C
• Function: For Mobile Phone, For Internet Bar, For Video Game, HiFi Headphone, Sport, Common Headphone
• Waterproof: No
• Support Memory Card: No
• Plug Type: Line Type
• Wireless Type: None
• Support APP: No
• With Microphone: Yes
• Resistance:32Ω
• Line Length:1.6m
• Support Apt-x: No
• Style: In-Ear
• Volume Control: Yes
• Communication: Wired
• Frequency Response Range:20-20000Hz
• Sensitivity:118±3dB
• Vocalism Principle: Dynamic

""",,,,,,
nhkgroup,Remax TWS 10i Advanced Earbuds,Piece,1,nhk-group,electronic-accessori,audio,,1400,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"""• Brand Name: PLEXTONE
• Model Number:G30 Gaming Headset
• Connectors: Type-C
• Function: For Mobile Phone, For Internet Bar, For Video Game, HiFi Headphone, Sport, Common Headphone
• Waterproof: No
• Support Memory Card: No
• Plug Type: Line Type
• Wireless Type: None
• Support APP: No
• With Microphone: Yes
• Resistance:32Ω
• Line Length:1.6m
• Support Apt-x: No
• Style: In-Ear
• Volume Control: Yes
• Communication: Wired
• Frequency Response Range:20-20000Hz
• Sensitivity:118±3dB
• Vocalism Principle: Dynamic

""",,,,,,
nhkgroup,Newest M19 TWS Earphone,Piece,1,nhk-group,electronic-accessori,audio,,1050,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"""• Brand Name: PLEXTONE
• Model Number:G30 Gaming Headset
• Connectors: Type-C
• Function: For Mobile Phone, For Internet Bar, For Video Game, HiFi Headphone, Sport, Common Headphone
• Waterproof: No
• Support Memory Card: No
• Plug Type: Line Type
• Wireless Type: None
• Support APP: No
• With Microphone: Yes
• Resistance:32Ω
• Line Length:1.6m
• Support Apt-x: No
• Style: In-Ear
• Volume Control: Yes
• Communication: Wired
• Frequency Response Range:20-20000Hz
• Sensitivity:118±3dB
• Vocalism Principle: Dynamic

""",,,,,,
nhkgroup,REMAX Gemini 2in1 Magnetic sync Fast Charging USB Cable for iPhone & Micro USB,Piece,1,nhk-group,electronic-accessori,audio,,550,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"""• Brand Name: PLEXTONE
• Model Number:G30 Gaming Headset
• Connectors: Type-C
• Function: For Mobile Phone, For Internet Bar, For Video Game, HiFi Headphone, Sport, Common Headphone
• Waterproof: No
• Support Memory Card: No
• Plug Type: Line Type
• Wireless Type: None
• Support APP: No
• With Microphone: Yes
• Resistance:32Ω
• Line Length:1.6m
• Support Apt-x: No
• Style: In-Ear
• Volume Control: Yes
• Communication: Wired
• Frequency Response Range:20-20000Hz
• Sensitivity:118±3dB
• Vocalism Principle: Dynamic

""",,,,,,
nhkgroup,Awei (CL-971) 3 in 1 Fast Charge USB Cable,Piece,1,nhk-group,electronic-accessori,audio,,320,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"""• Brand Name: PLEXTONE
• Model Number:G30 Gaming Headset
• Connectors: Type-C
• Function: For Mobile Phone, For Internet Bar, For Video Game, HiFi Headphone, Sport, Common Headphone
• Waterproof: No
• Support Memory Card: No
• Plug Type: Line Type
• Wireless Type: None
• Support APP: No
• With Microphone: Yes
• Resistance:32Ω
• Line Length:1.6m
• Support Apt-x: No
• Style: In-Ear
• Volume Control: Yes
• Communication: Wired
• Frequency Response Range:20-20000Hz
• Sensitivity:118±3dB
• Vocalism Principle: Dynamic

""",,,,,,
nhkgroup,Remote Control Induction Flying Helicopter,Piece,1,nhk-group,fashion,arts-&-crafts-for-ki,,450,0,,,,,"TV & HOME APPLIANCES,TELEVISIONS,HOME AUDIO,TV ACCESSORIES & VIDEO DEVICE,LARGE APPLIANCES,SMALL KITCHEN APPLIANCES,COOLING & HEATING,FAN,VACUUMS & FLOOR CARE,IRONS & GARMENT STEAMERS,WATER PURIFIERS & FILTERS",10,,10080,100,1,,active,"<p>""• Operate Mode: Remote and Hand Induction Both<p>""• Operate Mode: Remote and Hand Induction Both
• Color : Blue, Red, Yellow etc. (Random Color)
• Charging Time: 20 minutes
• Flying Time: About 10-15 minutes
• Material: Metal + ABS plastic
• latest intelligent Infrared Sensor system
• Induction levitation and collision protection
• Eco-friendly Material,
• Light weight, Low noisy,
• When you put your hand under the sensor it could fly higher
• Power Up LED Blinking System  
• Specially designed for beginners
• Flashing light on the bottom
• 100% Brand New And High Quality
• Suitable Age: over 8 years old
• Size: 21*16.5*6 cm (6 .5 x 2.4 x 8.3 inches)
• Weight: 0.15 kg
• Made In China
""
</p>",,,,,,
