business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
be-deshi,Cotton king Double size bed sheet with 2 pillow covers B-41,Piece,1,un-categorized,home-&-lifestyle,bedding,,815,0,,,,,,10,,10080,50,50,,active,<p>Product Type: Bed Sheet with Pillow Covers<br />Color: Multicolor<br />Main Material: Cotton<br />Size: 7.5 X 8.5 Feet<br />Double Size Bed Sheet<br />Bed Sheet with Matching 2 Pillow Covers</p>,,,,,,
be-deshi,Cotton king Double size bed sheet with 2 pillow covers B-42,Piece,1,un-categorized,home-&-lifestyle,bedding,,815,0,,,,,,10,,10080,50,50,,active,<p>Product Type: Bed Sheet with Pillow Covers<br />Color: Multicolor<br />Main Material: Cotton<br />Size: 7.5 X 8.5 Feet<br />Double Size Bed Sheet<br />Bed Sheet with Matching 2 Pillow Covers</p>,,,,,,
be-deshi,Cotton king Double size bed sheet with 2 pillow covers B-43,Piece,1,un-categorized,home-&-lifestyle,bedding,,460,0,,,,,,10,,10080,50,50,,active,<p>Product Type: Bed Sheet with Pillow Covers<br />Color: Multicolor<br />Main Material: Cotton<br />Size: 7.5 X 8.5 Feet<br />Double Size Bed Sheet<br />Bed Sheet with Matching 2 Pillow Covers</p>,,,,,,
be-deshi,Cotton king Double size bed sheet with 2 pillow covers B-44,Piece,1,un-categorized,home-&-lifestyle,bedding,,460,0,,,,,,10,,10080,50,50,,active,<p>Product Type: Bed Sheet with Pillow Covers<br />Color: Multicolor<br />Main Material: Cotton<br />Size: 7.5 X 8.5 Feet<br />Double Size Bed Sheet<br />Bed Sheet with Matching 2 Pillow Covers</p>,,,,,,
be-deshi,Cotton king Double size bed sheet with 2 pillow covers B-45,Piece,1,un-categorized,home-&-lifestyle,bedding,,700,0,,,,,,10,,10080,50,50,,active,<p>Product Type: Bed Sheet with Pillow Covers<br />Color: Multicolor<br />Main Material: Cotton<br />Size: 7.5 X 8.5 Feet<br />Double Size Bed Sheet<br />Bed Sheet with Matching 2 Pillow Covers</p>,,,,,,
be-deshi,Cotton king Double size bed sheet with 2 pillow covers B-46,Piece,1,un-categorized,home-&-lifestyle,bedding,,815,0,,,,,,10,,10080,50,50,,active,<p>Product Type: Bed Sheet with Pillow Covers<br />Color: Multicolor<br />Main Material: Cotton<br />Size: 7.5 X 8.5 Feet<br />Double Size Bed Sheet<br />Bed Sheet with Matching 2 Pillow Covers</p>,,,,,,
be-deshi,Cotton king Double size bed sheet with 2 pillow covers B-47,Piece,1,un-categorized,home-&-lifestyle,bedding,,460,0,,,,,,10,,10080,50,50,,active,<p>Product Type: Bed Sheet with Pillow Covers<br />Color: Multicolor<br />Main Material: Cotton<br />Size: 7.5 X 8.5 Feet<br />Double Size Bed Sheet<br />Bed Sheet with Matching 2 Pillow Covers</p>,,,,,,
be-deshi,Cotton king Double size bed sheet with 2 pillow covers B-48,Piece,1,un-categorized,home-&-lifestyle,bedding,,460,0,,,,,,10,,10080,50,50,,active,<p>Product Type: Bed Sheet with Pillow Covers<br />Color: Multicolor<br />Main Material: Cotton<br />Size: 7.5 X 8.5 Feet<br />Double Size Bed Sheet<br />Bed Sheet with Matching 2 Pillow Covers</p>,,,,,,
be-deshi,Cotton king Double size bed sheet with 2 pillow covers B-49,Piece,1,un-categorized,home-&-lifestyle,bedding,,460,0,,,,,,10,,10080,50,50,,active,<p>Product Type: Bed Sheet with Pillow Covers<br />Color: Multicolor<br />Main Material: Cotton<br />Size: 7.5 X 8.5 Feet<br />Double Size Bed Sheet<br />Bed Sheet with Matching 2 Pillow Covers</p>,,,,,,
be-deshi,Cotton king Double size bed sheet with 2 pillow covers B-50,Piece,1,un-categorized,home-&-lifestyle,bedding,,460,0,,,,,,10,,10080,50,50,,active,<p>Product Type: Bed Sheet with Pillow Covers<br />Color: Multicolor<br />Main Material: Cotton<br />Size: 7.5 X 8.5 Feet<br />Double Size Bed Sheet<br />Bed Sheet with Matching 2 Pillow Covers</p>,,,,,,
