business,name,unit,per_unit_value,brand,category,sub_category,sub_category2,vendor_price,price,is_offer_enable,offer_price,featured_image,short_resolation_image,type,keywords,alert_quantity,slug,sku,delivery_time,current_stock,enable_stock,shipping_charge,status,description,image1,image2,image3,image4,image5,image6
flormar,Flormar Body Mist 200ML  Cotton Candy & Van,Piece,1,flormar,health-and-beauty-1,makeup,,648,720,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Savor the splendid scent of cotton candy and vanilla with Cotton Candy &amp; Vanilla Body Mist! Vitamins A and E in Shea butter soothe the skin and protect its elasticity, thus allow it to feel refreshed. This body mist not only radiates a lovely scent, it also nourishes and moisturizes the body. Feel free to use Flormar body mist all day long whenever you please.</span>",,,,,,
flormar,Flormar Body Mist 200ML  Creamy Coconut,Piece,1,flormar,health-and-beauty-1,makeup,,648,720,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Leave it to Creamy Coconut Shower Gel to take care of your body! The coconut extract in its formula will moisturize the skin and protect it from drying out. Thanks to its moisturizing effects, it prevents damage resulting from dry skin structure. Its special formula contains Vitamin E, glycerin and Hydroviton Plus, which nourish and protect the skin.</span>",,,,,,
flormar,Flormar Body Mist 200ML  Fresh Citrus,Piece,1,flormar,health-and-beauty-1,makeup,,648,720,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Enjoy the refreshing feeling offered by lemon extract! Fresh Citrus Shower Gel not only nourishes and moisturizes the skin, it also prevents damage that dry skin is prone to. You will love using this shower gel that contains Vitamin C, lemon extract and potassium which renew and refresh the skin.</span>",,,,,,
flormar,Flormar Body Mist 200ML  Juicy Mango,Piece,1,flormar,health-and-beauty-1,makeup,,648,720,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Give your body the care it deserves with Juicy Mango Shower Gel that nourishes the skin and has a magnificent scent! Flormar shower gel is enriched with Vitamins A, C and E and glycerin. This mango-scented shower gel nourishes, protects and moisturizes the skin and allows it to glow. You will enjoy using this dryness-preventing shower gel every time you take a shower.</span>",,,,,,
flormar,Flormar Body Mist 200ML  Mixed Berries,Piece,1,flormar,health-and-beauty-1,makeup,,648,720,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Vitamins A, C and E in Mixed Berries Shower Gel will leave you feeling refreshed after each shower! Thanks to its special formula, Flormar shower gel nourishes, moisturizes and protects the skin. By protecting the skin from drying out, it helps prevent wrinkles resulting from dry skin and allows your body to look healthy.</span>",,,,,,
flormar,Flormar Shower Gel 350ML  Cotton Candy & Van,Piece,1,flormar,health-and-beauty-1,makeup,,468,520,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Savor the splendid scent of cotton candy and vanilla with Cotton Candy &amp; Vanilla Body Mist! Vitamins A and E in Shea butter soothe the skin and protect its elasticity, thus allow it to feel refreshed. This body mist not only radiates a lovely scent, it also nourishes and moisturizes the body. Feel free to use Flormar body mist all day long whenever you please.</span>",,,,,,
flormar,Flormar Shower Gel 350ML  Creamy Coconut,Piece,1,flormar,health-and-beauty-1,makeup,,442,520,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Leave it to Creamy Coconut Shower Gel to take care of your body! The coconut extract in its formula will moisturize the skin and protect it from drying out. Thanks to its moisturizing effects, it prevents damage resulting from dry skin structure. Its special formula contains Vitamin E, glycerin and Hydroviton Plus, which nourish and protect the skin.</span>",,,,,,
flormar,Flormar Shower Gel 350ML  Fresh Citrus,Piece,1,flormar,health-and-beauty-1,makeup,,442,520,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Enjoy the refreshing feeling offered by lemon extract! Fresh Citrus Shower Gel not only nourishes and moisturizes the skin, it also prevents damage that dry skin is prone to. You will love using this shower gel that contains Vitamin C, lemon extract and potassium which renew and refresh the skin.</span>",,,,,,
flormar,Flormar Shower Gel 350ML  Juicy Mango,Piece,1,flormar,health-and-beauty-1,makeup,,442,520,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Give your body the care it deserves with Juicy Mango Shower Gel that nourishes the skin and has a magnificent scent! Flormar shower gel is enriched with Vitamins A, C and E and glycerin. This mango-scented shower gel nourishes, protects and moisturizes the skin and allows it to glow. You will enjoy using this dryness-preventing shower gel every time you take a shower.</span>",,,,,,
flormar,Flormar Shower Gel 350ML  Mixed Berries,Piece,1,flormar,health-and-beauty-1,makeup,,442,520,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Vitamins A, C and E in Mixed Berries Shower Gel will leave you feeling refreshed after each shower! Thanks to its special formula, Flormar shower gel nourishes, moisturizes and protects the skin. By protecting the skin from drying out, it helps prevent wrinkles resulting from dry skin and allows your body to look healthy.</span>",,,,,,
flormar,Flormar Diamonds Baked Eye Shadow D01 White Diamond,Piece,1,flormar,health-and-beauty-1,makeup,,1173,1380,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Providing intense shimmer and color, Diamonds Baked Eyeshadow will create a striking effect on and add depth to your eyes. You will have a charming look thanks to Flormar eyeshadow. It provides a stronger effect when used wet.</span>",,,,,,
flormar,Flormar Diamonds Baked Eye Shadow D02 Black Glitters,Piece,1,flormar,health-and-beauty-1,makeup,,1173,1380,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Providing intense shimmer and color, Diamonds Baked Eyeshadow will create a striking effect on and add depth to your eyes. You will have a charming look thanks to Flormar eyeshadow. It provides a stronger effect when used wet.</span>",,,,,,
flormar,Flormar Diamonds Baked Eye Shadow D04 Pink Diamond,Piece,1,flormar,health-and-beauty-1,makeup,,1173,1380,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Providing intense shimmer and color, Diamonds Baked Eyeshadow will create a striking effect on and add depth to your eyes. You will have a charming look thanks to Flormar eyeshadow. It provides a stronger effect when used wet.</span>",,,,,,
flormar,Flormar Diamonds Baked Eye Shadow D05 Blue Crystal Ice,Piece,1,flormar,health-and-beauty-1,makeup,,1173,1380,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Providing intense shimmer and color, Diamonds Baked Eyeshadow will create a striking effect on and add depth to your eyes. You will have a charming look thanks to Flormar eyeshadow. It provides a stronger effect when used wet.</span>",,,,,,
flormar,Flormar Diamonds Baked Eye Shadow D06 Golden Eyes,Piece,1,flormar,health-and-beauty-1,makeup,,1173,1380,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Providing intense shimmer and color, Diamonds Baked Eyeshadow will create a striking effect on and add depth to your eyes. You will have a charming look thanks to Flormar eyeshadow. It provides a stronger effect when used wet.</span>",,,,,,
flormar,Flormar Diamonds Baked Eye Shadow D08 Golden Brown,Piece,1,flormar,health-and-beauty-1,makeup,,1173,1380,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Providing intense shimmer and color, Diamonds Baked Eyeshadow will create a striking effect on and add depth to your eyes. You will have a charming look thanks to Flormar eyeshadow. It provides a stronger effect when used wet.</span>",,,,,,
flormar,Flormar Diamonds Baked Eye Shadow D09 Deep Sapphire,Piece,1,flormar,health-and-beauty-1,makeup,,1173,1380,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Providing intense shimmer and color, Diamonds Baked Eyeshadow will create a striking effect on and add depth to your eyes. You will have a charming look thanks to Flormar eyeshadow. It provides a stronger effect when used wet.</span>",,,,,,
flormar,Flormar Eyebrow Pencil 402 Brown,Piece,1,flormar,health-and-beauty-1,makeup,,408,480,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Eyebrow Pencil provides an intense color to create a natural and defined look on your eyebrows. You may use the brush on the lid to shape your eyebrows and achieve the best results. The vegetable oils in Flormar eyebrow pencil&rsquo;s formula moisturize the skin and protect against the signs of early aging.Fill the gaps in your eyebrows using the pencil, and then comb with the brush on the lid to shape.</span>",,,,,,
flormar,Flormar Eyebrow Pencil 404 Black,Piece,1,flormar,health-and-beauty-1,makeup,,408,480,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Eyebrow Pencil provides an intense color to create a natural and defined look on your eyebrows. You may use the brush on the lid to shape your eyebrows and achieve the best results. The vegetable oils in Flormar eyebrow pencil&rsquo;s formula moisturize the skin and protect against the signs of early aging.Fill the gaps in your eyebrows using the pencil, and then comb with the brush on the lid to shape.</span>",,,,,,
flormar,Flormar Eyeliner Pen  Black,Piece,1,flormar,health-and-beauty-1,makeup,,544,640,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<p><span>It is very easy to use Eyeliner Pen with its practical package and special tip! Carbon Black pigment in its formula adds an intensity to the color black. Additionally, its water-based texture and its ability to draw fine lines will bring out your eyes in a natural way. You can easily create defined lines around your eyes and enjoy your striking look all day long.</span></p>",,,,,,
flormar,Flormar Graphic Eyeliner  Black,Piece,1,flormar,health-and-beauty-1,makeup,,680,800,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<p><span>It is very easy to use Eyeliner Pen with its practical package and special tip! Carbon Black pigment in its formula adds an intensity to the color black. Additionally, its water-based texture and its ability to draw fine lines will bring out your eyes in a natural way. You can easily create defined lines around your eyes and enjoy your striking look all day long.</span></p>",,,,,,
flormar,Flormar Just Magic Kajal Liner Flormar,Piece,1,flormar,health-and-beauty-1,makeup,,323,380,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Make-up base is the first step of a long-lasting and glowing make-up. Illuminating Primer Make-Up Base protects and nourishes your skin with its special formula while offering the best skin make-up. Containing green tea extracts and Akai berry, rich in antioxidants, Flormar make-up base ensures a comfortable feel on your skin with a fine layer. It also protects the skin against the signs of early aging. After applying moisturizer and waiting for it to be absorbed (except for the eye area), you can apply Illuminating Primer Make-up Base on your face and neck area.</span>",,,,,,
flormar,Flormar Precision Artliner  Black,Piece,1,flormar,health-and-beauty-1,makeup,,340,400,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>Precision Artliner is easy to apply thanks to its flexible bristle brush. Helping you create a flawless line, Artliner will add intensity and definition to your eye make-up.Apply it by creating a straight line along your lash lines.</span>",,,,,,
flormar,Flormar Roll N Go Liner Black,Piece,1,flormar,health-and-beauty-1,makeup,,765,900,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<span>If you would like to effortlessly accentuate your eye shape, then you should definitely try Flormar Roll'n Go Liner! Offering a shiny and smooth finish in a single motion thanks to its roll-on applicator, Roll'n Go Liner is water and humidity-proof and maintains its intense black color throughout the day thanks to its smudge-free texture.</span>",,,,,,
flormar,Flormar Eyeliner Pencil Waterproof 101 Black,Piece,1,flormar,health-and-beauty-1,makeup,,323,380,0,,,,,"makeup,flormar",5,,,,100,1,,active,<p><span>The key to a striking eye make-up: Waterproof Eyeliner. Wide range of colors and the formula enriched with Vitamin E offer the best results while moisturizing and nourishing the skin around the eyes. It also protects the skin against the signs of early aging.</span></p>,,,,,,
flormar,Flormar Eyeliner Pencil Waterproof 103 Navy Blue,Piece,1,flormar,health-and-beauty-1,makeup,,323,380,0,,,,,"makeup,flormar",5,,,,100,1,,active,<p><span>The key to a striking eye make-up: Waterproof Eyeliner. Wide range of colors and the formula enriched with Vitamin E offer the best results while moisturizing and nourishing the skin around the eyes. It also protects the skin against the signs of early aging.</span></p>,,,,,,
flormar,Flormar Eyeliner Pencil Waterproof 104 Cobalt Green,Piece,1,flormar,health-and-beauty-1,makeup,,323,380,0,,,,,"makeup,flormar",5,,,,100,1,,active,<p><span>The key to a striking eye make-up: Waterproof Eyeliner. Wide range of colors and the formula enriched with Vitamin E offer the best results while moisturizing and nourishing the skin around the eyes. It also protects the skin against the signs of early aging.</span></p>,,,,,,
flormar,Flormar Eyeliner Pencil Waterproof 111 Intensive Jade,Piece,1,flormar,health-and-beauty-1,makeup,,323,380,0,,,,,"makeup,flormar",5,,,,100,1,,active,<p><span>The key to a striking eye make-up: Waterproof Eyeliner. Wide range of colors and the formula enriched with Vitamin E offer the best results while moisturizing and nourishing the skin around the eyes. It also protects the skin against the signs of early aging.</span></p>,,,,,,
flormar,Flormar Eyeliner Pencil Waterproof 112 Ultra Blue,Piece,1,flormar,health-and-beauty-1,makeup,,323,380,0,,,,,"makeup,flormar",5,,,,100,1,,active,<p><span>The key to a striking eye make-up: Waterproof Eyeliner. Wide range of colors and the formula enriched with Vitamin E offer the best results while moisturizing and nourishing the skin around the eyes. It also protects the skin against the signs of early aging.</span></p>,,,,,,
flormar,Flormar Eyeliner Pencil Waterproof 113 Pure White,Piece,1,flormar,health-and-beauty-1,makeup,,323,380,0,,,,,"makeup,flormar",5,,,,100,1,,active,<p><span>The key to a striking eye make-up: Waterproof Eyeliner. Wide range of colors and the formula enriched with Vitamin E offer the best results while moisturizing and nourishing the skin around the eyes. It also protects the skin against the signs of early aging.</span></p>,,,,,,
flormar,Flormar Eyeliner Pencil Waterproof 117 Deep Purple,Piece,1,flormar,health-and-beauty-1,makeup,,323,380,0,,,,,"makeup,flormar",5,,,,100,1,,active,<p><span>The key to a striking eye make-up: Waterproof Eyeliner. Wide range of colors and the formula enriched with Vitamin E offer the best results while moisturizing and nourishing the skin around the eyes. It also protects the skin against the signs of early aging.</span></p>,,,,,,
flormar,Flormar Midnight Matte Eyeliner 01 Blackest Black,Piece,1,flormar,health-and-beauty-1,makeup,,748,880,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<p>Midnight Matte Eyeliner allows you to create striking EYE with its thin tip and matte finish formula. 
Stand out with this quick-drying, smudge-free, intensely black eyeliner!</p>",,,,,,
flormar,Flormar Midnight Matte Eyeliner 02 Brown,Piece,1,flormar,health-and-beauty-1,makeup,,680,800,0,,,,,"makeup,flormar",5,,,,100,1,,active,"<p>If you are looking for an intense, matte finish pencil eyeliner, here is Flormar Midnight Matte Eyeliner! 
Midnight Matte Eyeliner with a thin, flexible brush offers easy application.
Midnight Matte Eyeliner Brown Liquid Eyeliner.</p>",,,,,,
