"business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"sstradecominternational","Goloden Drop Sunflower Oil","Piece","1","golden-drop","groceries","cooking-items","oil","1550","","","goloden-drop-sunflower-oil-deshibazaarbd---32-1638623758-1638623758-61ab6a0e42d49.webp","goloden-drop-sunflower-oil-deshibazaarbd---32-1638623758-1638623758-61ab6a0e42d49.webp","","groceries,cooking-items","5","","10080","active","1","100","<div class=""details ng-star-inserted"">A light, healthy and nutritious oil that is easy to digest Low in saturated fats and rich in natural vitamins Rich in vitamins, which keeps skin healthy. Maximum Shelf Life 9 Months</div>","","samsung-j10-3---1-1636316728-1636316728-618836380643c.webp","product-featured-1613726021--1613726021.jpeg","","","",""
"sstradecominternational","Golden Drop Sunflower Oil 00","Piece","1","golden-drop","groceries","cooking-items","oil","320","","","golden-drop-sunflower-oil-00-deshibazaarbd---10-1638623756-1638623756-61ab6a0ce7a8e.webp","golden-drop-sunflower-oil-00-deshibazaarbd---10-1638623756-1638623756-61ab6a0ce7a8e.webp","","groceries,cooking-items","5","","10080","active","1","100","<div class=""details ng-star-inserted"">A light, healthy and nutritious oil that is easy to digest Low in saturated fats and rich in natural vitamins Rich in vitamins, which keeps skin healthy. Maximum Shelf Life 9 Months</div>","","samsung-j10-3---1-1636316728-1636316728-618836380643c.webp","product-featured-1613726021--1613726021.jpeg","","","",""
"sstradecominternational","Heart Light Canola Oil","Piece","1","heartlight-oil","groceries","cooking-items","oil","1350","","","heart-light-canola-oil-deshibazaarbd---33-1638623758-1638623758-61ab6a0e51ba3.webp","heart-light-canola-oil-deshibazaarbd---33-1638623758-1638623758-61ab6a0e51ba3.webp","","groceries,cooking-items","5","","10080","active","1","100","<div class=""details ng-star-inserted"">
<div class=""details ng-star-inserted"">Suitable Refined Oil For all Indian Cooking Lowest Saturated fat amongst all cooking oils Rich in Omega 3 &amp; 6 fatty acids, Vitamins E &amp; K Helps in lowering Bad Cholesterol Neutral Taste and aroma, does not affect the flavour of food High Smoke Point of 242&deg;C, makes it ideal for deep frying</div>
</div>","","","","","","",""
"sstradecominternational","Fine Dine Extra Virgin Olive Oil","Piece","1","fine-dine","groceries","cooking-items","oil","1150","","","fine-dine-extra-virgin-olive-oil-deshibazaarbd---4-1638623756-1638623756-61ab6a0c99d4c.webp","fine-dine-extra-virgin-olive-oil-deshibazaarbd---4-1638623756-1638623756-61ab6a0c99d4c.webp","","groceries,cooking-items","5","","10080","active","1","100","<div class=""details ng-star-inserted"">
<div class=""details ng-star-inserted"">
<ul>
<li>Product Types: Extra Virgin Olive Oil</li>
<li>Fine Dine Extra Virgin Olive Oil 1 Litre</li>
<li>Brand: Fine Dine</li>
<li>Capacity: 1 Litre</li>
<li>Easy to add your diet.</li>
<li>Helps in improving cardiovascular system.</li>
<li>Helps maintain healthy cholesterol system.</li>
<li>Helps in curing Alzheimer's disease.</li>
<li>Helps in relieving constipation.</li>
<li>Helps in preventing stroke.</li>
<li>Helps in reducing breast cancer risk.</li>
<li>Help in curing acute pancreatitis .</li>
<li>Country by Tunisia</li>
</ul>
</div>
</div>","","","","","","",""
"sstradecominternational","Oillina Extra Virgin Olive Oil","Piece","1","Oillina","groceries","cooking-items","oil","1290","","","oillina-extra-virgin-olive-oil-deshibazaarbd---38-1638623758-1638623758-61ab6a0e8fc58.webp","oillina-extra-virgin-olive-oil-deshibazaarbd---38-1638623758-1638623758-61ab6a0e8fc58.webp","","groceries,cooking-items","5","","10080","active","1","100","<p>Brand- Oillina

Extra virgin oil

Produced in Spain

Produced by- Misaga ensalvado slu

Health Benefits:

It works as an anti-inflammatory.

Protects against diabetes.

Protects against insulin resistance.

Reduces heart problems.

Reduces high blood pressure.

Improve blood cholesterol levels.

Assists in weight loss</p>","","oillina-extra-virgin-olive-oil-1-deshibazaarbd---37-1638623758-1638623758-61ab6a0e83b68.webp","","","","",""
"sstradecominternational","Oillina Extra Virgin Olive Oil 00","Piece","1","Oillina","groceries","cooking-items","oil","690","","","oillina-extra-virgin-olive-oil-00-deshibazaarbd---35-1638623758-1638623758-61ab6a0e6bacc.webp","oillina-extra-virgin-olive-oil-00-deshibazaarbd---35-1638623758-1638623758-61ab6a0e6bacc.webp","","groceries,cooking-items","5","","10080","active","1","100","<p>Brand- Oillina

Extra virgin oil

Produced in Spain

Produced by- Misaga ensalvado slu

Health Benefits:

It works as an anti-inflammatory.

Protects against diabetes.

Protects against insulin resistance.

Reduces heart problems.

Reduces high blood pressure.

Improve blood cholesterol levels.

Assists in weight loss.</p>","","","","","","",""
"sstradecominternational","Oillina Extra Virgin Olive Oil 01","Piece","1","Oillina","groceries","cooking-items","oil","355","","","oillina-extra-virgin-olive-oil-01-deshibazaarbd---36-1638623758-1638623758-61ab6a0e77c40.webp","oillina-extra-virgin-olive-oil-01-deshibazaarbd---36-1638623758-1638623758-61ab6a0e77c40.webp","","groceries,cooking-items","5","","10080","active","1","100","<p>Brand- Oillina

Extra virgin oil

Produced in Spain

Produced by- Misaga ensalvado slu

Health Benefits:

It works as an anti-inflammatory.

Protects against diabetes.

Protects against insulin resistance.

Reduces heart problems.

Reduces high blood pressure.

Improve blood cholesterol levels.

Assists in weight loss.</p>","","","","","","",""
"sstradecominternational","Oillina Blended High Oliec Sunflower Oil","Piece","1","Oillina","groceries","cooking-items","oil","1950","","","oillina-blended-high-oliec-sunflower-oil-deshibazaarbd---34-1638623758-1638623758-61ab6a0e5eeec.webp","oillina-blended-high-oliec-sunflower-oil-deshibazaarbd---34-1638623758-1638623758-61ab6a0e5eeec.webp","","groceries,cooking-items","5","","10080","active","1","100","<p>
Oillina Blended High Oleic Sunflower Oil is imported directly from Spain and first time ever Blended High Oleic Sunflower oil in Bangladesh.It is enriched in oleic acid which promotes higher levels of HDL,
 the good cholesterol and removes LDL, the bad cholesterol.It is rich in Vitamin A and Vitamin E which help in promoting skin health. These vitamins act as antioxidants.It helps the discharge of glycogen into the bloodstream
 from the liver.
It is rich in antioxidants and also strengthens the cell membrane barriers which make it harder for bacteria and viruses to enter the body</p>","","","","","","",""
"sstradecominternational","Oillina Pomace Olive Oil 02","Piece","1","Oillina","groceries","cooking-items","oil","975","","","oillina-pomace-olive-oil-02-deshibazaarbd---39-1638623758-1638623758-61ab6a0e9c539.webp","oillina-pomace-olive-oil-02-deshibazaarbd---39-1638623758-1638623758-61ab6a0e9c539.webp","","groceries,cooking-items","5","","10080","active","1","100","<p>
It's Gluten-free.
Its low-cholesterol content.</p>","","","","","","",""
"sstradecominternational","Qilla Premium Basmati Rice","Piece","1","qilla","groceries","cooking-items","rice","325","","","qilla-premium-basmati-rice-deshibazaarbd---49-1638623759-1638623759-61ab6a0f35c47.webp","qilla-premium-basmati-rice-deshibazaarbd---49-1638623759-1638623759-61ab6a0f35c47.webp","","groceries,cooking-items","5","","10080","active","1","100","<p>Qilla Basmati is a long grain, fragrant rice that cooks fluffier than white rice with a stronger flavor than the jasmine variety. We source aromatic white Basmati grown from India with a sweet, nutty, flavor for our Indian Basmati Rice. Slightly sweet, nutty flavor. Naturally fragrant, bread like aroma.</p>","","","","","","",""
