"business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","vendor_price","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","slug","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"shavershopbangladesh","Kemei KM-9020 Electric Rechargeable Beard Trimmer","Piece","1","kemei","fashion","mens-fashion","accessories","408","999","0","","kemei-km-9020-electric-rechargeable-beard-trimmer-deshibazaarbd---55-1641273569-1641273569-61d3d8e120d7c.webp","kemei-km-9020-electric-rechargeable-beard-trimmer-deshibazaarbd---55-1641273569-1641273569-61d3d8e120d7c.webp","","","5","","","","active","1","100","<ul data-spm-anchor-id=""a2g0o.detail.0.i8.21631e53mQx4Mb"">
  <li>Usage Time: <span title=""45Mins"">45Mins</span></li>
  <li>Brand Name: <span title=""Kemei"">Kemei</span></li>
  <li>Blade Material: <span title=""Stainless steel"">Stainless steel</span></li>
  <li>Target Audience: <span title=""Adults"">Adults</span></li>
  <li>Charging Time: <span title=""8h"">8h</span></li>
  <li>Voltage: <span title=""Global Universal(100-240V)"">Global Universal(100-240V)</span></li>
  <li>Power Type: <span title=""Rechargeable/Electric Both Work"">Rechargeable/Electric Both Work</span></li>
  <li>Model Number: <span title=""KM-9020"">KM-9020</span></li>
  <li>Commodity Quality Certification: <span title=""CE"">CE</span></li>
  <li>Material: <span title=""ABS+PA"">ABS+PA</span></li>
</ul>
<br />","","","","","","",""
"shavershopbangladesh","Kemei KM-600 11 In 1 Multigrooming Set For Men","Piece","1","kemei","fashion","mens-fashion","accessories","1444","2999","0","","kemei-km-600-11-in-1-multigrooming-set-for-men-deshibazaarbd---30-1641273562-1641273562-61d3d8da30a07.webp","kemei-km-600-11-in-1-multigrooming-set-for-men-deshibazaarbd---30-1641273562-1641273562-61d3d8da30a07.webp","","","5","","","","active","1","100","● Brand : Kemei ● Model Number : KM 600 ● Item Type : Electric Shaver Exclusive men grooming kit Kemei KM-600 will give a complete trimming solution. Hair, Beard, Nose trimmer and Shaver. Hair clipper also included with KM-600 grooming kit. Rechargeable and use in household and traveling time also. KM-600 is comfortable and safe trimming solution for you. Package Included: ● 1 x Clipper ● 1 x Micro Shaver ● 1 x Precision Trimmer ● 1 x Nose Trimmer ● 1 x Body Trimmer ● 4 x Guide Combs for Full Size Trimmer and Precision Trimmer(3mm/6mm/9mm/12mm) ● 1 x Comb ● 1 x Power Cord ● 1 x Manual ● 1 x Brush","","","","","","",""
"shavershopbangladesh","KM-680A Kemei 8 In 1 Grooming Kit Shaver Trimmer","Piece","1","kemei","fashion","mens-fashion","accessories","1402","2999","0","","km-680a-kemei-8-in-1-grooming-kit-shaver-trimmer-deshibazaarbd---61-1641273570-1641273570-61d3d8e2da7c0.webp","km-680a-kemei-8-in-1-grooming-kit-shaver-trimmer-deshibazaarbd---61-1641273570-1641273570-61d3d8e2da7c0.webp","","","5","","","","active","1","100","<ul>
  <li>Up to 40 minutes cordless usage time</li>
  <li>Charge time:5 hours</li>
  <li>Trimmer Blade: Professional grade blades to define your facial style</li>
  <li>Dual Shave: Ultra close shave and ability to edge with precision</li>
  <li>Nose and Ear Trimmer : Safe, easy and hygienic grooming</li>
  <li>Precision Trimmer : Define both straight or curved lines and edges</li>
  <li>Dual Lady Shave: Ultra close shave and ability to edge with precision</li>
</ul>","","","","","","",""
"shavershopbangladesh","Kemei KM-3590 5 In 1 Professional Hair Clipper And Trimmer","Piece","1","kemei","fashion","mens-fashion","accessories","1173","1999","0","","kemei-km-3590-5-in-1-professional-hair-clipper-and-trimmer-deshibazaarbd---46-1641273566-1641273566-61d3d8dea4d16.webp","kemei-km-3590-5-in-1-professional-hair-clipper-and-trimmer-deshibazaarbd---46-1641273566-1641273566-61d3d8dea4d16.webp","","","5","","","","active","1","100","<ul>
  <li>Brand Name: Kemei</li>
  <li>Commodity Quality Certification: ce</li>
  <li>Model Number: KM – 3590</li>
  <li>Material: ABS</li>
  <li>Size: 1 x Ni-Cd AA 600mAh</li>
  <li>Item Type: Hair Trimmer</li>
  <li>Cable Length: 60cm</li>
  <li>Voltage: AC220 – 240V</li>
  <li>Power: 3W</li>
  <li>Charging Time: 8 hours</li>
  <li>Working Time: 40 – 60 minutes</li>
  <li>Intelligent positioning combs</li>
  <li>5 precise blade</li>
  <li> Powerful motor</li>
</ul>","","","","","","",""
"shavershopbangladesh","KM-9612 Kemei Mini Electric Beard Trimmer","Piece","1","kemei","fashion","mens-fashion","accessories","849","1299","0","","km-9612-kemei-mini-electric-beard-trimmer-deshibazaarbd---65-1641273572-1641273572-61d3d8e41def9.webp","km-9612-kemei-mini-electric-beard-trimmer-deshibazaarbd---65-1641273572-1641273572-61d3d8e41def9.webp","","","5","","","","active","1","100","<ul>
  <li>6 Months Service Warranty</li>
  <li>Material: ABS</li>
  <li>Mini electric hair clipper</li>
  <li>Super quiet &amp; perfect cutting</li>
  <li>Removable blade for easy cleaning</li>
  <li>Convenience in operation &amp; safety</li>
  <li>Advanced shaving system</li>
  <li>Titanium plated stationary</li>
  <li>Streamlined model</li>
  <li>Ergonomic design</li>
  <li>Powerful motor</li>
  <li>Durable sharp</li>
  <li>Adjustable blade</li>
  <li>Interchangeable battery</li>
  <li>Streamlined fuselage indicator</li>
  <li>Easily to change the length</li>
  <li>Push-type switch for easy operation</li>
  <li>Oil bottle</li>
  <li>Cleaning brush</li>
  <li>Charging adapter</li>
  <li>Corded /Cordless</li>
  <li>Rechargeable Battery: Yes</li>
  <li>Charging Time: 4-6hrs</li>
  <li>Auto Overload Off</li>
  <li>Power: 110-220V/50Hz-60Hz</li>
</ul>","","","","","","",""
"shavershopbangladesh","KM-2600 Kemei Cord Cordless Adjustable Hair Clipper & Beard Trimmer","Piece","1","kemei","fashion","mens-fashion","accessories","1784","2999","0","","km-2600-kemei-cord-cordless-adjustable-hair-clipper-beard-trimmer-deshibazaarbd---63-1641273571-1641273571-61d3d8e373df7.webp","km-2600-kemei-cord-cordless-adjustable-hair-clipper-beard-trimmer-deshibazaarbd---63-1641273571-1641273571-61d3d8e373df7.webp","","","5","","","","active","1","100","<p><br />
Brand Name:<span title=""Kemei"">Kemei</span></p>
<ul>
  <li id=""product-prop-200000204"" data-attr=""200002927"" data-title=""Hair Trimmer"">Item Type:<span title=""Hair Trimmer"">Hair Trimmer</span></li>
  <li id=""product-prop-200000204"" data-attr=""200002927"" data-title=""Hair Trimmer"">Charge time:1 Hour Using Time: 2 Hours </li>
  <li id=""product-prop-200251261"" data-attr=""200052171"" data-title=""3C"">Commodity Quality Certification:<span title=""3C"">3C</span></li>
  <li id=""product-prop-491"" data-attr="""" data-title=""19.5*5.5CM"">Size:<span title=""19.5*5.5CM"">19.5*5.5CM</span></li>
  <li id=""product-prop-10"" data-attr="""" data-title=""ABS"">Material:<span title=""ABS"">ABS</span></li>
  <li id=""product-prop-3"" data-attr="""" data-title=""KM-2600"">Model Number:<span title=""KM-2600"">KM-2600</span></li>
  <li id=""product-prop-"" data-attr="""" data-title=""100-240V"">Voltage:<span title=""100-240V"">100-240V</span></li>
  <li id=""product-prop-"" data-attr="""" data-title=""50/60Hz"">frequency:<span title=""50/60Hz"">50/60Hz</span></li>
  <li id=""product-prop-"" data-attr="""" data-title=""rechargeable"">Power methld:<span title=""rechargeable"">rechargeable</span></li>
  <li id=""product-prop-"" data-attr="""" data-title=""no"">Whether or not waterproof:<span title=""no"">no</span></li>
  <li id=""product-prop-"" data-attr="""" data-title=""cordless"">Features:<span title=""cordless"">cordless</span></li>
  <li id=""product-prop-"" data-attr="""" data-title=""1 pcs"">brushes:<span title=""1 pcs"">1 pcs</span></li>
</ul>","","","","","","",""
"shavershopbangladesh","Kemei KM-5015 Washable Beard Hair Trimmer For Men","Piece","1","kemei","fashion","mens-fashion","accessories","1274","1799","0","","kemei-km-5015-washable-beard-hair-trimmer-for-men-deshibazaarbd---48-1641273567-1641273567-61d3d8df4890c.webp","kemei-km-5015-washable-beard-hair-trimmer-for-men-deshibazaarbd---48-1641273567-1641273567-61d3d8df4890c.webp","","","5","","","","active","1","100","<ul>
  <li>Powerful long-life motor</li>
  <li>Patented cute-angled moving blade</li>
  <li>One internal environment-friendly lithium cobaltate(LiCoO2)battery for a 8-hour charge</li>
  <li>Patented cute-angled moving blade,sharp and durable</li>
  <li>Available to work for about 45min after fully charged</li>
  <li>Dual-purposed ower supply technology</li>
  <li>Intelligent host chip management and protection for power supply</li>
</ul>
<p><strong>Specifications<br />
</strong></p>
<ul>
  <li>Rechargeable clipper</li>
  <li>Input voltage: AC 220-240V 50Hz</li>
  <li>Power: 5W</li>
  <li>Charging time: 8hours,</li>
  <li>Useing time: 45min</li>
  <li>Product size: 16*4.8cm</li>
  <li>Machine weight: 158g</li>
</ul>","","","","","","",""
"shavershopbangladesh","Kemei KM-2516 Rechargeable Beard Trimmer For Man","Piece","1","kemei","fashion","mens-fashion","accessories","637","999","0","","kemei-km-2516-rechargeable-beard-trimmer-for-man-deshibazaarbd---40-1641273564-1641273564-61d3d8dcd8b80.webp","kemei-km-2516-rechargeable-beard-trimmer-for-man-deshibazaarbd---40-1641273564-1641273564-61d3d8dcd8b80.webp","","","5","","","","active","1","100","1 Brand Name:kemei<br />
2 Model Number:km-2516<br />
3 Material:abs<br />
4 Size:18.5cm<br />
5 Item Type:Hair Trimmer<br />
6 Brand:Comay<br />
7 Applicable to the crowd:General<br />
8 Charging time:8H<br />
9 Useing time:40min","","","","","","",""
"shavershopbangladesh","Kemei KM-809A Digital Electric Rechargeable Professional Hair Clipper Trimmer","Piece","1","kemei","fashion","mens-fashion","accessories","1445","2999","0","","kemei-km-809a-digital-electric-rechargeable-professional-hair-clipper-trimmer-deshibazaarbd---33-1641273562-1641273562-61d3d8daed9be.webp","kemei-km-809a-digital-electric-rechargeable-professional-hair-clipper-trimmer-deshibazaarbd---33-1641273562-1641273562-61d3d8daed9be.webp","","","5","","","","active","1","100","<p>Brand:Kemei<br />
  Description: <br />
  Our Kemei KM - 809A hair clipper is suitable for pet or man's temperament, featuring on shave and trim hairs. Also, there is a LCD screen on the body, which lets you easily trim your hair with the intuitive electricity display.<br />
  Meanwhile, a convenient variable thumb lever for adjusting the taper and texture, providing a smooth, quick, and precise performance on hair.Now, enjoy an excellent cutting experience!</p>
<p>Features:<br />
  Intelligent positioning combs</p>
<p>There are 4 adjustable guide combs ( 3mm / 6mm / 10mm / 13mm ) trim length and make all sorts of length hair easily.</p>
<p>Thumb-adjustable taper lever</p>
<p>The precise blade is adjustable for cutting length from 1 - 3mm, you can choose closely cropped or short straight hair.Stainless steel cutting headDesigned to deliver the sharp performance which will not rust or tangle your hair, always clip neatly and ensure high durability. Insert amphibious fillingYou can plug the external power adapter to recharge the built-in power supply at the same time, it also can be used directly</p>","","","","","","",""
"shavershopbangladesh","Kemei KM-27C Professional Rechargeable Hair Clipper","Piece","1","kemei","fashion","mens-fashion","accessories","1147","1999","0","","kemei-km-27c-professional-rechargeable-hair-clipper-deshibazaarbd---23-1641273559-1641273559-61d3d8d77e5e1.webp","kemei-km-27c-professional-rechargeable-hair-clipper-deshibazaarbd---23-1641273559-1641273559-61d3d8d77e5e1.webp","","","5","","","","active","1","100","- Brand : Kemei - Model : KM-27C - Color: Silver - Material: ABS+SS - Voltage: 220V - Frequency: 50Hz - Wirelessly, Convenient to Operate. - High Hardness Cutting Blade. First look of a man leaves the last impression, so style up yourself in a clean look to leave the best impression. Kemei brings for the men its Rechargeable Electric Hair Trimmer that would trim your hair, beard or mustache hair with easy without leaving small hair on your skin. It removes hair from even the most difficult spot, giving you a neat look. The rechargeable feature of this trimmer makes it the most durable and efficient trimmer of its kind","","","","","","",""
"shavershopbangladesh","Kemei KM-580A Cord Cordless 7In 1 Muti-Functional Set For Men","Piece","1","kemei","fashion","mens-fashion","accessories","1402","2499","0","","kemei-km-580a-cord-cordless-7in-1-muti-functional-set-for-men-deshibazaarbd---29-1641273561-1641273561-61d3d8d9b4647.webp","kemei-km-580a-cord-cordless-7in-1-muti-functional-set-for-men-deshibazaarbd---29-1641273561-1641273561-61d3d8d9b4647.webp","","","5","","","","active","1","100","<ul>
  <li>Kemei KM-580A Multi-Functional Set for Men.</li>
  <li>Brand: Kemei.</li>
  <li>Product Type: Mutli-Functional Set.</li>
  <li>Model: Kemei KM-580A.</li>
  <li>Material: Steel blade + imported ABS.</li>
  <li>Size: 155x40mm.</li>
  <li>Suitable: Family, child and adult.</li>
  <li>Input: 220V 50Hz.</li>
  <li>Power: 3 W.</li>
  <li>Charger Time: 5 hours.</li>
  <li>After Charger Full: Can use 40 minutes.</li>
  <li>Advantage: Multi-function 4 in 1 + full-body washing.</li>
  <li>Attachment Combs: 3 (3mm 6mm 10mm).</li>
  <li>Voltage: World Wide Voltage.</li>
  <li>Quality: High.</li>
  <li>Color: Random.</li>
  <li>Warranty: No Warranty.</li>
</ul>","","","","","","",""
"shavershopbangladesh","KM-590A Kemei 7 In 1 Multi-Function Trimmer","Piece","1","kemei","fashion","mens-fashion","accessories","1402","2499","0","","km-590a-kemei-7-in-1-multi-function-trimmer-deshibazaarbd---60-1641273570-1641273570-61d3d8e281399.webp","km-590a-kemei-7-in-1-multi-function-trimmer-deshibazaarbd---60-1641273570-1641273570-61d3d8e281399.webp","","","5","","","","active","1","100","<ul>
  <li>         Precision Facial Hair &amp; Body Grooming Trimmer With Titanium Blade Technology</li>
  <li>         4 Position Hair Clipper Comb Length 14-20mm / 6-12mm</li>
  <li>         Attachments Risible Under Running Water.</li>
  <li>         Cord/cordless operating</li>
  <li>         Ergonomic design and streamlined modeling.</li>
  <li>         low noise, both for baby and adult</li>
</ul>
<p><strong>Package Include:</strong></p>
<p>1x Trimmer</p>
<p>1x Nose &amp; Ear Trimmer</p>
<p>1x Trimmer Blade with Guide Comb</p>
<p>1x 6-12mm Adjustable Guide Comb</p>
<p>1x 14-20mm Adjustable Guide Comb</p>
<p>1x Dual Foil Shaver</p>
<p>1 x Power Adapter</p>
<p>1 x Cleaning Brush</p>","","","","","","",""
"shavershopbangladesh","Kemei KM-1832 5in1 Washable Electric Shaver And Multi Grooming Kit For Men","Piece","1","kemei","fashion","mens-fashion","accessories","1699","3000","0","","kemei-km-1832-5in1-washable-electric-shaver-and-multi-grooming-kit-for-men-deshibazaarbd---37-1641273563-1641273564-61d3d8dc13bd2.webp","kemei-km-1832-5in1-washable-electric-shaver-and-multi-grooming-kit-for-men-deshibazaarbd---37-1641273563-1641273564-61d3d8dc13bd2.webp","","","5","","","","active","1","100","Model : KM 1832
Type: Electric Shaver and Grooming kit
1-20mm combs for a clear look
Hair clipping comb: easy to cut hair
Low vibration low noise design
Power Consumption: 3W
Dimension: 16.5 x 4cm (L x W)
Weight: 145g
Feature: Triple Blade
Gender:Male
Power Type:Rechargeable
Head:Rotary three heads
Charging Time:5 h
Usage Time:45Mins
With trimming device:Yes","","","","","","",""
"shavershopbangladesh","Kemei KM-500 Personal Care Super Grooming Kit For Men","Piece","1","kemei","fashion","mens-fashion","accessories","1428","2200","0","","kemei-km-500-personal-care-super-grooming-kit-for-men-deshibazaarbd---27-1641273561-1641273561-61d3d8d930bc3.webp","kemei-km-500-personal-care-super-grooming-kit-for-men-deshibazaarbd---27-1641273561-1641273561-61d3d8d930bc3.webp","","","5","","","","active","1","100","<ul data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.1984wUiVwUiVbJ"">
  <li>Brand: Kemei</li>
  <li>Model: KM-500</li>
  <li>Voltage: 240V</li>
  <li>Frequency: 50 / 60Hz</li>
  <li>Plug Specifications: European regulations</li>
  <li>Charging time: 2 hours</li>
  <li>Discharge time: 2 hours</li>
  <li>Material: Stainless steel</li>
  <li>size:18.2*5.5cm</li>
</ul>","","","","","","",""
"shavershopbangladesh","Kemei KM-5017 Hair Clipper Beard Trimmer For Men","Piece","1","kemei","fashion","mens-fashion","accessories","1088","1999","0","","kemei-km-5017-hair-clipper-beard-trimmer-for-men-deshibazaarbd---49-1641273567-1641273567-61d3d8df8e0e7.webp","kemei-km-5017-hair-clipper-beard-trimmer-for-men-deshibazaarbd---49-1641273567-1641273567-61d3d8df8e0e7.webp","","","5","","","","active","1","100","<ul>
  <li>1.Model NO.: KM-5017</li>
  <li>2.Products Size : 16.5CM*4.5CM</li>
  <li>3.product net weight: 160g</li>
  <li>4.Charging line length: 180CM</li>
  <li>5.Battery: Nickel chrome</li>
  <li>6.Material of the cutting tools: Titanium alloy</li>
  <li>7.Material: ABS and Stainless steel trim and Stainless steel trimer</li>
</ul>","","","","","","",""
"shavershopbangladesh","Kemei KM-3909 Electric Hair Clippers Trimmer For Men","Piece","1","kemei","fashion","mens-fashion","accessories","1088","2499","0","","kemei-km-3909-electric-hair-clippers-trimmer-for-men-deshibazaarbd---47-1641273566-1641273567-61d3d8df06e4e.webp","kemei-km-3909-electric-hair-clippers-trimmer-for-men-deshibazaarbd---47-1641273566-1641273567-61d3d8df06e4e.webp","","","5","","","","active","1","100","<ul>
  <li>Kemei deals with different types of electric rechargeable shavers, trimmers, cutter, hair straighteners, different accessories include Micro-Groomer attachments and many more</li>
  <li>Those are ideal for men and women around the globe.</li>
  <li>Kemei uses the highest quality materials to ensure the users never have to worry about painful grooming experience.</li>
  <li data-spm-anchor-id=""a2a0e.pdp.product_detail.i0.1796i8yVi8yV8g"">Kemei is continuously bringing quality products for the people with high standard besides much variations to allow people to keep on budget as well.</li>
</ul>","","","","","","",""
