"business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"minister","MINISTERM-24 GLORIOUS LED TV (L24M7)","Piece","1","minister","home-appliances","televisions","","18172","","","ministerm-24-glorious-led-tv-l24m7-deshibazaarbd---20-1638621982-1638621982-61ab631e88911.webp","ministerm-24-glorious-led-tv-l24m7-deshibazaarbd---20-1638621982-1638621982-61ab631e88911.webp","","home-appliances,televisions","5","","10080","active","1","100","<p>Color Black
Screen Size 1366*768 (HD)
Processor Quad Core
Operating System Android 8.0
RAM 1 GB
eMMC 8 GB
Double Glass Yes
Facebook, YouTube, Google Play Store Yes
Wireless Display, Multiscreen TV, Games Yes
Home Share, DLNA, Internet Browser Yes
Viewing Angle (H/V) 178?/178?
Contrast Ratio 3000:1
Source ATV, AV, USB, VGA, HDMI
Thunder Protective Yes
Program Channel Tuner 199
Remote 2
Free Wall Bracket Yes
Warranty Category

Panel 4 Years
Parts 2 Years
Replacement 1 Year
Free Service 7 Years
Conditions Apply Yes</p>","","","","","","",""
"minister","MINISTERM-32 SMART GLORIOUS LED TV (L32M7) 01","Piece","1","minister","home-appliances","televisions","","24624","","","ministerm-32-smart-glorious-led-tv-l32m7-01-deshibazaarbd---22-1638621982-1638621982-61ab631ea714e.webp","ministerm-32-smart-glorious-led-tv-l32m7-01-deshibazaarbd---22-1638621982-1638621982-61ab631ea714e.webp","","home-appliances,televisions","5","","10080","active","1","100","Color Black
Screen Size 813 mm
Resolution 1366*768 (HD)
Processor Quad Core
Operating System Android 8.0
RAM 1 GB
eMMC 8 GB
Special Features Wireless Display, Multi screen Tv, Games
Special Features Home Share, DLNA, Internet Browser
Thunder Protective Yes","","","","","","",""
"minister","MINISTERM-24 SMILE LED TV (24D1) A","Piece","1","minister","home-appliances","televisions","","14946","","","ministerm-24-smile-led-tv-24d1-a-deshibazaarbd---21-1638621982-1638621982-61ab631e976e2.webp","ministerm-24-smile-led-tv-24d1-a-deshibazaarbd---21-1638621982-1638621982-61ab631e976e2.webp","","home-appliances,televisions","5","","10080","active","1","100","<p>Color Titanium Gold
Scratch Proof Yes
Screen Size 0.6096 Meter
Back light Adjustable Yes
Resolutiony 1366 X 768 (HD)
Viewing Angle 178�/178�
Eye protective Yes
Thunder Protective Yes</p>","","","","","","",""
"minister","MINISTERM-32 SMILE LED TV (32D1) B","Piece","1","minister","home-appliances","televisions","","20323","","","ministerm-32-smile-led-tv-32d1-b-deshibazaarbd---23-1638621982-1638621982-61ab631eb5993.webp","ministerm-32-smile-led-tv-32d1-b-deshibazaarbd---23-1638621982-1638621982-61ab631eb5993.webp","","home-appliances,televisions","5","","10080","active","1","100","<p>Color Black
Scratch Proof Yes
Screen Size 0.8128 Meter
Resolutiony 1366 X 768 (HD)
Viewing Angle 178�/178�
Back light Adjustable Yes
Thunder Protective Yes</p>","","","","","","",""
"minister","MINISTERM-43 SMART ANDROID LED TV (43A6000) C","Piece","1","minister","home-appliances","televisions","","42903","","","ministerm-43-smart-android-led-tv-43a6000-c-deshibazaarbd---24-1638621982-1638621982-61ab631ec4028.webp","ministerm-43-smart-android-led-tv-43a6000-c-deshibazaarbd---24-1638621982-1638621982-61ab631ec4028.webp","","home-appliances,televisions","5","","10080","active","1","100","<p>Color Black
CPU CA53x4 800MHz
GPU Mali450MP2
Screen Size 1.0922 Meter
OSD Language English/French/Arabian/Persian
Operating System Android 7.0
AV System PAL, NTSC, SECAM
TV System ATV, AV, DTV, USB, HDMI, VGA
RAM 1 GB DDR3
Flash 8 GB</p>","","","","","","",""
"minister","MINISTERRefrigeratorM-165DEEP BLUE D","Piece","1","minister","home-appliances","freezer","","20860","","","ministerrefrigeratorm-165deep-blue-d-deshibazaarbd---25-1638621982-1638621982-61ab631ed1bd3.webp","ministerrefrigeratorm-165deep-blue-d-deshibazaarbd---25-1638621982-1638621982-61ab631ed1bd3.webp","","home-appliances,freezer","5","","10080","active","1","100","<p>Freezer Capacity 40%
Refrigerator Capacity 60%
Cooling Type Frost
Freezer Type Top Freezer
Door Quantity 2
Dimension(mm) HxWxL 1295 x 600 x 590
Compressor Guaranty 7 Years</p>","","","","","","",""
"minister","MINISTERRefrigeratorM-165RED POPPY E","Piece","1","minister","home-appliances","freezer","","20860","","","ministerrefrigeratorm-165red-poppy-e-deshibazaarbd---26-1638621982-1638621982-61ab631edefeb.webp","ministerrefrigeratorm-165red-poppy-e-deshibazaarbd---26-1638621982-1638621982-61ab631edefeb.webp","","home-appliances,freezer","5","","10080","active","1","100","<p>Freezer Capacity 40%
Refrigerator Capacity 60%
Cooling Type Frost
Freezer Type Top Freezer
Door Quantity 2
Dimension(mm) HxWxL 1295 x 600 x 590
Compressor Guaranty 7 Years</p>","","","","","","",""
"minister","MINISTERRefrigeratorM-165RED POPPY F","Piece","1","minister","home-appliances","freezer","","20860","","","ministerrefrigeratorm-165red-poppy-f-deshibazaarbd---27-1638621982-1638621982-61ab631eeb1fa.webp","ministerrefrigeratorm-165red-poppy-f-deshibazaarbd---27-1638621982-1638621982-61ab631eeb1fa.webp","","home-appliances,freezer","5","","10080","active","1","100","<p>Freezer Capacity 40%
Refrigerator Capacity  60%
Cooling Type Frost
Door Quantity 2
Freezer Type Top Freezer
Door Lock Yes
Refrigerant R-600a
Refrigerant Charge (g) 38
Blowing agent of PU foam Cyclopentane
Inner Liner HIPS
Door Plate Glass
Side Panel PCM
Back Panel Aluzinc
Power 63W
Compressor Voltage Range 160V-260V
Rated Voltage (AC) 220~240 V
Rated Current 0.27A
Rated Frequency 50Hz
Built in Stabilizer YES
Dimension(mm) HxWxL 1295 x 600 x 590
Gross Capacity (Liter) 165
CFT (Overall Dimension) 10
Net Weight (Kg) 37.4/</p>","","","","","","",""
"minister","MINISTERRefrigeratorM-175DEEP BLUE G","Piece","1","minister","home-appliances","freezer","","25269","","","ministerrefrigeratorm-175deep-blue-g-deshibazaarbd---28-1638621983-1638621983-61ab631f03090.webp","ministerrefrigeratorm-175deep-blue-g-deshibazaarbd---28-1638621983-1638621983-61ab631f03090.webp","","home-appliances,freezer","5","","10080","active","1","100","<p>Freezer Capacity 40%
Refrigerator Capacity 60%
Cooling Type Frost
Freezer Type Top Freezer
Door Quantity 2
Dimension(mm) HxWxL 1455 x 605 x 585
Compressor Guaranty 7 Years</p>","","","","","","",""
"minister","MINISTERRefrigeratorM-175MAROON H","Piece","1","minister","home-appliances","freezer","","22473","","","ministerrefrigeratorm-175maroon-h-deshibazaarbd---29-1638621983-1638621983-61ab631f0ffdb.webp","ministerrefrigeratorm-175maroon-h-deshibazaarbd---29-1638621983-1638621983-61ab631f0ffdb.webp","","home-appliances,freezer","5","","10080","active","1","100","Freezer Capacity 40%
Refrigerator Capacity  60%
Cooling Type Frost
Door Quantity 2
Freezer Type Bottom Freezer
Door Lock No
Refrigerant R-600a
Refrigerant Charge (g) 37
Blowing Agent Cyclopentane
Inner Liner HIPS
Door Plate VCM
Side Panel PCM
Back Panel Aluzinc
Power 55W
Compressor Voltage Range 160V-260V
Rated Voltage (AC) 220~240 V
Rated Current 0.24A
Rated Frequency 50Hz
Built in Stabilizer YES
Dimension(mm) HxWxL 1480 x 585 x 545
Gross Capacity (Liter) 175
CFT (Overall Dimension) 10.5
Net Weight (Kg) 44/","","","","","","",""
